"Sample Name"	"Protocol REF"	"Parameter Value[Sample mounting]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sample preservation]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Sectioning instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Section thickness]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Labeled Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Spatial resolution]"	"Unit"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Raw Spectral Data File"	"Protocol REF"	"Parameter Value[Stain]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[High-res image]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Low-res image]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"Slide1"	"Preparation"	"Thermo Scientific SuperFrost Glass slide"	""	""	"Flash frozen"	""	""	"Thermo Scientific Microm HM550 Cryostat"	""	""	"10"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1500"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"Slide1"	"7TopRight, 17BottomRight, 27BottomLeft, 37TopLeft-profile.ibd"	"7TopRight, 17BottomRight, 27BottomLeft, 37TopLeft-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"JAMES 7,17,27,37 - 2014-10-30 21.03.55.ndpi"	""	""	"7TopRight, 17BottomRight, 27BottomLeft, 37TopLeft.jpg"	""	""	"Data transformation"	""	"7TopRight, 17BottomRight, 27BottomLeft, 37TopLeft-profile.imzML"	"7TopRight, 17BottomRight, 27BottomLeft, 37TopLeft-centroid.imzML"	"Metabolite identification"	""	""
"Slide2"	"Preparation"	"Thermo Scientific SuperFrost Glass slide"	""	""	"Flash frozen"	""	""	"Thermo Scientific Microm HM550 Cryostat"	""	""	"10"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1500"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"Slide2"	"47TopRight, 57BottomRight, 67BottomLeft, 77TopLeft-profile.ibd"	"47TopRight, 57BottomRight, 67BottomLeft, 77TopLeft-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"JAMES 47,57,67,77 - 2014-10-30 21.08.11.ndpi"	""	""	"47TopRight, 57BottomRight, 67BottomLeft, 77TopLeft.jpg"	""	""	"Data transformation"	""	"47TopRight, 57BottomRight, 67BottomLeft, 77TopLeft-profile.imzML"	"47TopRight, 57BottomRight, 67BottomLeft, 77TopLeft-centroid.imzML"	"Metabolite identification"	""	""
"Slide3"	"Preparation"	"Thermo Scientific SuperFrost Glass slide"	""	""	"Flash frozen"	""	""	"Thermo Scientific Microm HM550 Cryostat"	""	""	"10"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1500"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"Slide3"	"87TopRight, 97BottomRight, 107BottomLeft, 117TopLeft-profile.ibd"	"87TopRight, 97BottomRight, 107BottomLeft, 117TopLeft-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"JAMES 87,97,107,117 - 2014-10-30 21.12.33.ndpi"	""	""	"87TopRight, 97BottomRight, 107BottomLeft, 117TopLeft.jpg"	""	""	"Data transformation"	""	"87TopRight, 97BottomRight, 107BottomLeft, 117TopLeft-profile.imzML"	"87TopRight, 97BottomRight, 107BottomLeft, 117TopLeft-centroid.imzML"	"Metabolite identification"	""	""
"Slide4"	"Preparation"	"Thermo Scientific SuperFrost Glass slide"	""	""	"Flash frozen"	""	""	"Thermo Scientific Microm HM550 Cryostat"	""	""	"10"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1500"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"Slide4"	"127TopRight, 137BottomRight, 147BottomLeft, 157TopLeft-profile.ibd"	"127TopRight, 137BottomRight, 147BottomLeft, 157TopLeft-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"JAMES 127,137,147,157 - 2014-10-30 21.16.53.ndpi"	""	""	"127TopRight, 137BottomRight, 147BottomLeft, 157TopLeft.jpg"	""	""	"Data transformation"	""	"127TopRight, 137BottomRight, 147BottomLeft, 157TopLeft-profile.imzML"	"127TopRight, 137BottomRight, 147BottomLeft, 157TopLeft-centroid.imzML"	"Metabolite identification"	""	""
"Slide5"	"Preparation"	"Thermo Scientific SuperFrost Glass slide"	""	""	"Flash frozen"	""	""	"Thermo Scientific Microm HM550 Cryostat"	""	""	"10"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1500"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"Slide5"	"167TopRight, 177 BottomRight, 187BottomLeft, 197TopLeft-profile.ibd"	"167TopRight, 177 BottomRight, 187BottomLeft, 197TopLeft-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"JAMES 167,177,187,197 - 2014-10-30 21.21.08.ndpi"	""	""	"167TopRight, 177 BottomRight, 187BottomLeft, 197TopLeft.jpg"	""	""	"Data transformation"	""	"167TopRight, 177 BottomRight, 187BottomLeft, 197TopLeft-profile.imzML"	"167TopRight, 177 BottomRight, 187BottomLeft, 197TopLeft-centroid.imzML"	"Metabolite identification"	""	""
"Slide6"	"Preparation"	"Thermo Scientific SuperFrost Glass slide"	""	""	"Flash frozen"	""	""	"Thermo Scientific Microm HM550 Cryostat"	""	""	"10"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1500"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"Slide6"	"207TopRight, 217 BottomRight, 227BottomLeft, 237TopLeft-profile.ibd"	"207TopRight, 217 BottomRight, 227BottomLeft, 237TopLeft-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"JAMES 207,217,227,237 - 2014-10-30 21.25.23.ndpi"	""	""	"207TopRight, 217 BottomRight, 227BottomLeft, 237TopLeft.jpg"	""	""	"Data transformation"	""	"207TopRight, 217 BottomRight, 227BottomLeft, 237TopLeft-profile.imzML"	"207TopRight, 217 BottomRight, 227BottomLeft, 237TopLeft-centroid.imzML"	"Metabolite identification"	""	""
"Slide7"	"Preparation"	"Thermo Scientific SuperFrost Glass slide"	""	""	"Flash frozen"	""	""	"Thermo Scientific Microm HM550 Cryostat"	""	""	"10"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1500"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"Slide7"	"246TopRight, 256 BottomRight, 266BottomLeft, 276TopLeft-profile.ibd"	"246TopRight, 256 BottomRight, 266BottomLeft, 276TopLeft-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"JAMES 246,256,266,276 - 2014-10-30 21.34.22.ndpi"	""	""	"246TopRight, 256 BottomRight, 266BottomLeft, 276TopLeft.jpg"	""	""	"Data transformation"	""	"246TopRight, 256 BottomRight, 266BottomLeft, 276TopLeft-profile.imzML"	"246TopRight, 256 BottomRight, 266BottomLeft, 276TopLeft-centroid.imzML"	"Metabolite identification"	""	""
"Slide8"	"Preparation"	"Thermo Scientific SuperFrost Glass slide"	""	""	"Flash frozen"	""	""	"Thermo Scientific Microm HM550 Cryostat"	""	""	"10"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1500"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"Slide8"	"287TopRight, 297 BottomRight, 307BottomLeft, 317TopLeft-profile.ibd"	"287TopRight, 297 BottomRight, 307BottomLeft, 317TopLeft-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"JAMES 287,297,307,317 - 2014-10-30 21.38.43.ndpi"	""	""	"287TopRight, 297 BottomRight, 307BottomLeft, 317TopLeft.jpg"	""	""	"Data transformation"	""	"287TopRight, 297 BottomRight, 307BottomLeft, 317TopLeft-profile.imzML"	"287TopRight, 297 BottomRight, 307BottomLeft, 317TopLeft-centroid.imzML"	"Metabolite identification"	""	""
"Slide9"	"Preparation"	"Thermo Scientific SuperFrost Glass slide"	""	""	"Flash frozen"	""	""	"Thermo Scientific Microm HM550 Cryostat"	""	""	"10"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1500"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"Slide9"	"327TopRight, 337 BottomRight, 347BottomLeft, 357TopLeft-profile.ibd"	"327TopRight, 337 BottomRight, 347BottomLeft, 357TopLeft-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"JAMES 327,337,347,357 - 2014-10-30 21.43.11.ndpi"	""	""	"327TopRight, 337 BottomRight, 347BottomLeft, 357TopLeft.jpg"	""	""	"Data transformation"	""	"327TopRight, 337 BottomRight, 347BottomLeft, 357TopLeft-profile.imzML"	"327TopRight, 337 BottomRight, 347BottomLeft, 357TopLeft-centroid.imzML"	"Metabolite identification"	""	""
"Slide10"	"Preparation"	"Thermo Scientific SuperFrost Glass slide"	""	""	"Flash frozen"	""	""	"Thermo Scientific Microm HM550 Cryostat"	""	""	"10"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	""	""	"Mass spectrometry"	"negative"	"150-1500"	"Thermo Scientific Exactive"	""	""	"desorption electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1002011"	"orbitrap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000484"	"methanol/water 95/5"	""	""	"100"	"micrometer"	"UO"	"http://purl.obolibrary.org/obo/UO_0000017"	"Slide10"	"367TopRight, 377 BottomRight, 387BottomLeft, 397TopLeft-profile.ibd"	"367TopRight, 377 BottomRight, 387BottomLeft, 397TopLeft-centroid.ibd"	"Histology"	"Hematoxylin and Eosin Staining Method"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C23011"	"JAMES 367,377,387,397 - 2014-10-30 21.47.38.ndpi"	""	""	"367TopRight, 377 BottomRight, 387BottomLeft, 397TopLeft.jpg"	""	""	"Data transformation"	""	"367TopRight, 377 BottomRight, 387BottomLeft, 397TopLeft-profile.imzML"	"367TopRight, 377 BottomRight, 387BottomLeft, 397TopLeft-centroid.imzML"	"Metabolite identification"	""	""
