"sample.name"	"Sample.Name"	"Protocol.REF_x"	"Parameter.Value.Post.Extraction."	"Parameter.Value.Derivatization."	"Extract.Name"	"Protocol.REF.1"	"Parameter.Value.Chromatography.Instrument."	"Term.Source.REF_x"	"Term.Accession.Number_x"	"Parameter.Value.Column.model."	"Parameter.Value.Column.type."	"Labeled.Extract.Name"	"Label"	"Term.Source.REF.1_x"	"Term.Accession.Number.1_x"	"Protocol.REF.2"	"Parameter.Value.Scan.polarity."	"Parameter.Value.Scan.m.z.range."	"Parameter.Value.Instrument."	"Term.Source.REF.2_x"	"Term.Accession.Number.2_x"	"Parameter.Value.Ion.source."	"Term.Source.REF.3_x"	"Term.Accession.Number.3_x"	"Parameter.Value.Mass.analyzer."	"Term.Source.REF.4"	"Term.Accession.Number.4"	"MS.Assay.Name"	"Raw.Spectral.Data.File"	"Protocol.REF.3"	"Normalization.Name"	"Derived.Spectral.Data.File"	"Protocol.REF.4"	"Data.Transformation.Name"	"Metabolite.Assignment.File"	"Source.Name"	"Characteristics.Organism."	"Term.Source.REF_y"	"Term.Accession.Number_y"	"Characteristics.Organism.part."	"Term.Source.REF.1_y"	"Term.Accession.Number.1_y"	"Protocol.REF_y"	"Factor.Value.Genotype."	"Term.Source.REF.2_y"	"Term.Accession.Number.2_y"	"Factor.Value.Replicate."	"Term.Source.REF.3_y"	"Term.Accession.Number.3_y"
"0307_1"	"Kn-300"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_1"	"0307_1.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Kn-300"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Kn"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_10"	"Edi-340"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_10"	"0307_10.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Edi-340"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Edi"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_11"	"Tsu-344"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_11"	"0307_11.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Tsu-344"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Tsu"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_12"	"Hi-348"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_12"	"0307_12.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Hi-348"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Hi"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_13"	"Ws-352"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_13"	"0307_13.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Ws-352"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Ws"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_14"	"Col-356"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_14"	"0307_14.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Col-356"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Col"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_15"	"Wil-360"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_15"	"0307_15.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Wil-360"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Wil"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_16"	"Mt-364"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_16"	"0307_16.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Mt-364"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Mt"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_17"	"Po-368"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_17"	"0307_17.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Po-368"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Po"	"NA"	"NA"	"3"	"NA"	"NA"
"0307_18"	"Ler-305"	"Extraction"	"NA"	"sylilation"	"NA"	"Chromatography"	"Agilent 6890N GC"	"NA"	"NA"	"Zebron ZB-5 GC (0.25 µm, 0.25 mm x 30 m; Phenomenex)"	"low polarity"	"NA"	"NA"	"NA"	"NA"	"Mass spectrometry"	"NA"	"70-600"	"Agilent 5975C inert XL MSD"	"NA"	"NA"	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	"0307_18"	"0307_18.CDF"	"Data transformation"	"NA"	"NA"	"Metabolite identification"	"NA"	"m_MTBLS338_GCMS_Root_met_v2_maf.tsv"	"Ler-305"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"root"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001188"	"Sample collection"	"Ler"	"NA"	"NA"	"3"	"NA"	"NA"
