"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[D-glucose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Label]"	"Term Source REF"	"Term Accession Number"
"CELL_Glc12_05mM_Normo_04"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ARPE-19 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002335"	"Sample collection"	"CELL_Glc12_05mM_Normo_04"	"5"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"12C"	""	""
"CELL_Glc12_05mM_Normo_05"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ARPE-19 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002335"	"Sample collection"	"CELL_Glc12_05mM_Normo_05"	"5"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"12C"	""	""
"CELL_Glc12_05mM_Normo_06"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ARPE-19 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002335"	"Sample collection"	"CELL_Glc12_05mM_Normo_06"	"5"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"12C"	""	""
"CELL_Glc12_25mM_Normo_16"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ARPE-19 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002335"	"Sample collection"	"CELL_Glc12_25mM_Normo_16"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"12C"	""	""
"CELL_Glc12_25mM_Normo_17"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ARPE-19 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002335"	"Sample collection"	"CELL_Glc12_25mM_Normo_17"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"12C"	""	""
"CELL_Glc12_25mM_Normo_18"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ARPE-19 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002335"	"Sample collection"	"CELL_Glc12_25mM_Normo_18"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"12C"	""	""
"CELL_Glc13_05mM_Normo_01"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ARPE-19 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002335"	"Sample collection"	"CELL_Glc13_05mM_Normo_01"	"5"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"13C"	""	""
"CELL_Glc13_05mM_Normo_02"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ARPE-19 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002335"	"Sample collection"	"CELL_Glc13_05mM_Normo_02"	"5"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"13C"	""	""
"CELL_Glc13_05mM_Normo_03"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ARPE-19 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002335"	"Sample collection"	"CELL_Glc13_05mM_Normo_03"	"5"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"13C"	""	""
"CELL_Glc13_25mM_Normo_13"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ARPE-19 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002335"	"Sample collection"	"CELL_Glc13_25mM_Normo_13"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"13C"	""	""
"CELL_Glc13_25mM_Normo_14"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ARPE-19 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002335"	"Sample collection"	"CELL_Glc13_25mM_Normo_14"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"13C"	""	""
"CELL_Glc13_25mM_Normo_15"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"ARPE-19 cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0002335"	"Sample collection"	"CELL_Glc13_25mM_Normo_15"	"25"	"millimolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000063"	"13C"	""	""
