"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"A1"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"A1"	"A1_Control.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"A2"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"A2"	"A2_Control.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"A3"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"A3"	"A3_Control.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"A4"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"A4"	"A4_Control.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"A5"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"A5"	"A5_Control.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"A6"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"A6"	"A6_Control.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B1"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"B1"	"B1_PVP.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B2"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"B2"	"B2_PVP.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B3"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"B3"	"B3_PVP.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"B4"	"Extraction"	"30 µl 4:1 mixture of methanol:water with 20 mM ammonium acetate"	"none"	""	"Chromatography"	"Advion TriVersa NanoMate"	""	""	""	""	""	""	""	""	"Mass spectrometry"	"negative"	"70-590"	"Thermo Scientific LTQ FT Ultra"	""	""	"nanoelectrospray"	"MS"	"http://purl.obolibrary.org/obo/MS_1000398"	"ion cyclotron resonance cell"	"CHMO"	"http://purl.obolibrary.org/obo/CHMO_0000964"	"B4"	"B4_PVP.zip"	"Data transformation"	"AgNPM2_RAW_norm_matrix"	"AgNPM2_RAW_norm_matrix.csv"	""	"AgNPM2_RAW_norm_knn_matrix"	"AgNPM2_RAW_norm_knn_matrix.csv"	""	"AgNPM2_RAW_norm_knn_glog_matrix"	"AgNPM2_RAW_norm_knn_glog_matrix.csv"	"Metabolite identification"	""	"m_mtbls260_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
