"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Species]"	"Term Source REF"	"Term Accession Number"
"ATCC 25523"	"Mycoplasma bovis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28903"	"Mycoplasma agalactiae subsp. bovis Hale et al. "	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"MB-1"	"Mycoplasma bovis"	""	""
"ATCC 25523"	"Mycoplasma bovis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28903"	"Mycoplasma agalactiae subsp. bovis Hale et al. "	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"MB-2"	"Mycoplasma bovis"	""	""
"ATCC 25523"	"Mycoplasma bovis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28903"	"Mycoplasma agalactiae subsp. bovis Hale et al. "	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"MB-3"	"Mycoplasma bovis"	""	""
"ATCC 25523"	"Mycoplasma bovis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28903"	"Mycoplasma agalactiae subsp. bovis Hale et al. "	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"MB-4"	"Mycoplasma bovis"	""	""
"ATCC 25523"	"Mycoplasma bovis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28903"	"Mycoplasma agalactiae subsp. bovis Hale et al. "	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"MB-5"	"Mycoplasma bovis"	""	""
"ATCC 25523"	"Mycoplasma bovis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28903"	"Mycoplasma agalactiae subsp. bovis Hale et al. "	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"MB-6"	"Mycoplasma bovis"	""	""
"ATCC 25523"	"Mycoplasma bovis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28903"	"Mycoplasma agalactiae subsp. bovis Hale et al. "	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"MB-7"	"Mycoplasma bovis"	""	""
"ATCC 25523"	"Mycoplasma bovis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28903"	"Mycoplasma agalactiae subsp. bovis Hale et al. "	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"MB-8"	"Mycoplasma bovis"	""	""
"Wild type Australian strain Ap3AS"	"Mycoplasma gallisepticum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2096"	"Mycoplasma gallisepticum str. Ap3AS"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"MG-1"	"Mycoplasma gallisepticum"	""	""
"Wild type Australian strain Ap3AS"	"Mycoplasma gallisepticum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/2096"	"Mycoplasma gallisepticum str. Ap3AS"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"MG-2"	"Mycoplasma gallisepticum"	""	""
