"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Vaiant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[treatment]"	"Term Source REF"	"Term Accession Number"
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"0min_no_tea_rep1"	"1"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"no_tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"0min_no_tea_rep2"	"2"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"no_tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"0min_no_tea_rep3"	"3"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"no_tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"0min_tea_rep1"	"1"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"0min_tea_rep2"	"2"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"0min_tea_rep3"	"3"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"40min_no_tea_rep1"	"1"	""	""	"40"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"no_tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"40min_no_tea_rep2"	"2"	""	""	"40"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"no_tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"40min_no_tea_rep3"	"3"	""	""	"40"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"no_tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"40min_tea_rep1"	"1"	""	""	"40"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"40min_tea_rep2"	"2"	""	""	"40"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"40min_tea_rep3"	"3"	""	""	"40"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"240min_no_tea_rep1"	"1"	""	""	"240"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"no_tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"240min_no_tea_rep2"	"2"	""	""	"240"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"no_tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"240min_no_tea_rep3"	"3"	""	""	"240"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"no_tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"240min_tea_rep1"	"1"	""	""	"240"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"240min_tea_rep2"	"2"	""	""	"240"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"240min_tea_rep3"	"3"	""	""	"240"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"tea"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"0min_no_bacteria_rep1"	"1"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"no_bacteria"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"0min_no_bacteria_rep2"	"2"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"no_bacteria"	""	""
"freezer_stock"	"Salmonella enterica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/28901"	"Salmonella enterica subsp. enterica serovar Typhimurium DT104 strain 2576"	""	""	"intracellular"	"EFO"	"http://purl.obolibrary.org/obo/GO_0005622"	"Sample collection"	"0min_no_bacteria_rep3"	"3"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"no_bacteria"	""	""
