"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Control/Ikaros]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"
"Control Batch 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_0h_batch9"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"9"	""	""
"Control Batch 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_0h_batch10"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"10"	""	""
"Control Batch 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_0h_batch11"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"11"	""	""
"Control Batch 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_2h_batch9"	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"9"	""	""
"Control Batch 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_2h_batch10"	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"10"	""	""
"Control Batch 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_2h_batch11"	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"11"	""	""
"Control Batch 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_6h_batch9"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"9"	""	""
"Control Batch 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_6h_batch10"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"10"	""	""
"Control Batch 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_6h_batch11"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"11"	""	""
"Control Batch 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_12h_batch9"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"9"	""	""
"Control Batch 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_12h_batch10"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"10"	""	""
"Control Batch 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_12h_batch11"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"11"	""	""
"Control Batch 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_18h_batch9"	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"9"	""	""
"Control Batch 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_18h_batch10"	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"10"	""	""
"Control Batch 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_18h_batch11"	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"11"	""	""
"Control Batch 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_24h_batch9"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"9"	""	""
"Control Batch 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_24h_batch10"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"10"	""	""
"Control Batch 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Control_24h_batch11"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Control"	""	""	"11"	""	""
"Ikaros Batch 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_0h_batch9"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"9"	""	""
"Ikaros Batch 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_0h_batch10"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"10"	""	""
"Ikaros Batch 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_0h_batch11"	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"11"	""	""
"Ikaros Batch 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_2h_batch9"	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"9"	""	""
"Ikaros Batch 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_2h_batch10"	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"10"	""	""
"Ikaros Batch 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_2h_batch11"	"2"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"11"	""	""
"Ikaros Batch 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_6h_batch9"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"9"	""	""
"Ikaros Batch 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_6h_batch10"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"10"	""	""
"Ikaros Batch 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_6h_batch11"	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"11"	""	""
"Ikaros Batch 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_12h_batch9"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"9"	""	""
"Ikaros Batch 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_12h_batch10"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"10"	""	""
"Ikaros Batch 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_12h_batch11"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"11"	""	""
"Ikaros Batch 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_18h_batch9"	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"9"	""	""
"Ikaros Batch 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_18h_batch10"	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"10"	""	""
"Ikaros Batch 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_18h_batch11"	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"11"	""	""
"Ikaros Batch 9"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_24h_batch9"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"9"	""	""
"Ikaros Batch 10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_24h_batch10"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"10"	""	""
"Ikaros Batch 11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"pre-B-lymphocyte"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001133"	"Sample collection"	"STATegra_Metabolomics_Ikaros_24h_batch11"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Ikaros"	""	""	"11"	""	""
