"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Virus]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Time Collected]"	"Unit"	"Term Source REF"	"Term Accession Number"
"SysVirol_IFL001_1918_d1_292_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d1_292_lipid__Neg_17Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d1_292_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d1_292_lipid__Pos_Gimli_06Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d1_293_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d1_293_lipid__Neg_17Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d1_293_lipid__Po_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d1_293_lipid__Po_Gimli_06Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d1_294_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d1_294_lipid__Neg_17Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d1_294_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d1_294_lipid__Pos_Gimli_06Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d3_280_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d3_280_lipid__Neg_17Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d3_280_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d3_280_lipid__Pos_Gimli_06Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d3_281_lipid__Neg_17Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d3_281_lipid__Neg_17Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"SysVirol_IFL001_1918_d3_281_lipid__Pos_Gimli_06Sep13_13-07-01"	"Mustela putorius"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9668"	"Mustela putorius furo"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_9669"	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"Sample collection"	"SysVirol_IFL001_1918_d3_281_lipid__Pos_Gimli_06Sep13_13-07-01"	"1918"	""	""	"lung"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000763"	"3"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
